name,protein,fats,carbs,calories,category 
Абрикосовая косточка,14.0,27.7,56.3,440.0,9
Арахис,26.3,45.2,9.9,622.0,9
Арахис сушеный,29.2,50.2,10.8,611.0,9
Бананы сушёные,3.9,1.8,80.5,390.0,9
Барбарис сушеный,0.0,0.0,38.0,152.0,9
Боярышник сушеный,0.0,0.0,38.0,142.0,9
Бразильский орех,14.3,66.4,4.8,656.0,9
Буковый орех,6.2,50.0,33.5,576.0,9
Вишня вяленая,1.5,0.0,73.0,290.0,9
Вишня сушеная,1.5,0.0,73.0,290.0,9
Грецкий орех,15.2,65.2,7.0,654.0,9
Груши сушёные,2.3,0.6,62.6,249.0,9
Дыня сушеная,0.7,0.1,82.2,341.0,9
Желудь,24.0,20.7,15.7,387.0,9
Изюм,2.9,0.6,66.0,264.0,9
Изюм кишмиш,2.3,0.0,71.2,279.0,9
Изюм узбекский золотистый,1.8,0.0,70.9,291.0,9
Изюм узбекский чёрный,1.8,0.0,70.9,291.0,9
Инжир сушеный,3.1,0.8,57.9,257.0,9
Какао-бобы,12.8,53.1,9.5,565.0,9
Каштан жареный,3.2,2.2,33.8,182.0,9
Каштан консервированный,3.4,2.2,50.0,213.0,9
Каштан свежий,3.4,3.0,30.6,166.0,9
Кедровые орехи,11.6,61.0,19.3,673.0,9
Кедровый жмых,31.0,19.0,33.0,432.0,9
Кешью,18.5,48.5,22.5,600.0,9
Кешью жареный,17.5,42.2,30.5,572.0,9
Клюква сушеная,0.1,1.4,76.5,308.0,9
Кокосовый орех,3.4,33.5,6.2,354.0,9
Коктейль орехи и сухофрукты,11.2,27.9,46.6,483.0,9
Кумкват сушёный,3.8,0.0,80.1,284.0,9
Кунжут,19.4,48.7,12.2,565.0,9
Кунжут чёрный,19.4,48.4,12.2,565.0,9
Курага,5.2,0.3,51.0,215.0,9
Мак,17.5,47.5,2.0,505.0,9
Манго сушёный,1.5,0.8,81.6,314.0,9
Миндаль сладкий,18.6,57.7,16.2,645.0,9
Миндальные лепестки,22.0,58.0,12.0,650.0,9
Орех кола,7.9,0.1,5.2,150.0,9
Орех кукуи,7.9,75.8,5.2,620.0,9
Орех лещина,13.1,62.6,9.3,653.0,9
Орех макадамия,7.9,75.8,5.2,718.0,9
Орех пекан,9.2,72.0,4.3,691.0,9
Орех пили,10.8,79.6,4.0,719.0,9
Орех сейшельский Коко-де-мер,3.3,33.5,6.2,354.0,9
Орех чилим,11.9,3.4,55.4,200.0,9
Орехи,15.0,40.0,20.0,500.0,9
Ореховая смесь Молодёжная Белый Пеликан,10.0,23.3,52.5,460.0,9
Персик сушёный,3.0,0.4,57.7,254.0,9
Плоды дерева ши (карите),0.0,0.0,0.0,0,9
Рапс,30.8,43.6,7.2,544.0,9
Семена горчицы,25.8,30.8,23.4,474.0,9
Семена конопли,20.0,32.5,14.0,429.0,9
Семена льна,18.3,42.2,28.9,534.0,9
Семена пажитника,23.0,6.4,58.3,323.0,9
Семена укропа,16.0,14.5,55.1,305.0,9
Семена фенхеля,15.8,14.8,52.3,345.0,9
Семена чиа,16.5,30.7,42.1,512.0,9
Семечки подсолнечника,20.7,52.9,3.4,578.0,9
Семечки тыквенные,24.5,45.8,4.7,556.0,9
Урюк,5.0,0.4,50.6,213.0,9
Финики,2.5,0.5,69.2,274.0,9
Фисташки,20.0,50.0,7.0,556.0,9
Фундук,16.1,66.9,9.9,704.0,9
Цукаты (смесь кубиков ананаса и папайи),2.0,1.0,71.0,301.0,9
Цукаты из ананаса,1.7,2.2,17.9,91.0,9
Цукаты из апельсина,2.0,1.0,71.0,301.0,9
Цукаты из арбузных корок,2.5,0.0,51.0,209.0,9
Цукаты из груш,0.0,0.0,91.6,343.0,9
Цукаты из дыни,0.6,0.6,52.0,319.0,9
Цукаты из моркови,2.9,0.2,70.5,300.0,9
Цукаты из папайи,0.0,0.0,81.7,327.0,9
Цукаты из яблок,0.5,0.0,91.6,343.0,9
Черника сушеная,0.9,0.7,72.3,309.0,9
Чернослив,2.3,0.7,57.5,231.0,9
Шелковица сушеная,10.0,2.5,77.5,375.0,9
Шиповник сушёный,3.4,0.0,21.5,110.0,9
Яблоки сушёные,2.2,0.1,59.0,231.0,9
Ягоды годжи сушеные,11.1,2.6,53.4,309.0,9
Ядро конопли,30.0,41.0,10.7,514.0,9