name,protein,fats,carb,calories,category,10
Икра масаго,22.0,6.0,1.0,140,10
Икра минтаевая пробойная,28.4,1.9,0.0,131,10
Икра минтаевая пробойная соленая,23.0,4.0,0.0,128,10
Икра мойвы Санта Бремор классическая,8.1,38.6,0.0,365,10
Икра мойвы Санта Бремор подкопчённая,9.3,38.3,0.0,382,10
Икра мойвы Санта Бремор с копчёным лососем,8.8,36.9,0.0,367,10
Икра мойвы Санта Бремор с креветкой,8.1,37.9,0.0,374,10
Икра мойвы Санта Бремор тресковая,8.4,37.9,0.0,375,10
Икра моллюсков,13.8,4.3,2.5,104,10
Икра морских ежей,13.8,4.3,2.5,104,10
Икра осетровая зернистая,28.0,9.7,0.0,203,10
Икра осетровая паюсная,36.0,10.2,0.0,236,10
Икра осетровая пробойная,36.0,10.2,0.0,235,10
Икра палтуса,20.0,3.0,0.0,107,10
Икра сазана,18.5,12.5,1.0,179,10
Икра севрюжья зернистая,28.4,11.9,0.0,221,10
Икра сельди,31.6,10.3,0.0,222,10
Икра судака,17.5,2.0,0.0,88,10
Икра толстолобика,8.8,6.2,12.9,137,10
Икра трески,24.0,0.2,0.0,115,10
Икра трески консервированная,19.0,11.0,1.0,179,10
Икра щучья,17.3,2.0,0.0,87,10
Икра ястычная,17.5,2.0,0.0,88,10
Кальмары (кольца сушеные),49.1,1.9,3.0,226,10
Кальмары (щупальца в маринаде),70.0,1.0,3.0,301,10
Кальмары (щупальца сушеные),70.0,1.0,3.0,293,10
Кальмары жареные,14.2,13.4,1.8,188,10
Кальмары Капитан вкусов натуральные порционные,15.0,1.0,1.7,76,10
Кальмары консервированные,20.0,2.0,0.0,105,10
Кальмары маринованные,20.0,2.1,1.8,106,10
Кальмары отварные,21.2,2.8,2.0,122,10
Кальмары с гриля,21.8,2.9,2.1,115,10
Кальмары свежие,19.0,2.5,1.8,98,10
Кальмары сушеные,62.0,2.0,5.0,286,10
Камбала горячего копчения,22.0,11.6,0.0,192,10
Камбала жареная,16.8,15.1,4.7,223,10
Камбала отварная,18.3,3.3,0.0,103,10
Камбала свежая,16.5,1.8,0.0,83,10
Каракатица,16.2,0.7,0.8,79,10
Каракатица (чернила),16.2,0.7,0.8,79,10
Карась маринованный,15.5,8.2,0.6,136,10
Карась отварной,20.7,2.1,0.0,102,10
Карась свежий,17.7,1.8,0.0,87,10
Карп жареный,18.3,11.6,4.5,196,10
Карп консервированный,13.6,8.7,1.4,138,10
Карп маринованный,13.6,8.7,1.4,138,10
Карп отварной,16.0,3.7,2.0,102,10
Карп свежий,16.0,5.3,0.0,112,10
Кета свежая,22.0,5.6,0.0,138,10
Кета соленая,24.3,9.6,0.0,184,10
Кефаль отварная,19.0,4.3,0.0,115,10
Кефаль свежая,21.0,0.4,0.0,124,10
Кефаль чёрная (лобан),19.3,3.8,0.0,117,10
Кижуч,21.6,6.0,0.0,140,10
Килька балтийская,14.1,9.0,0.0,137,10
Килька горячего копчения,21.3,8.5,0.0,162,10
Килька каспийская,18.5,13.1,0.0,191,10
Килька консервированная,12.0,11.0,3.1,159,10
Килька обжаренная в томатном соусе,14.0,12.0,4.5,182,10
Килька пряного посола,14.8,10.5,0.0,154,10
Килька соленая,17.1,7.6,0.0,137,10
Китовое мясо,22.5,3.2,0.0,119,10
Клыкач,14.4,16.1,0.0,202,10
Коктейль из морепродуктов в масле,9.3,31.0,1.0,319,10
Коктейль из морепродуктов в рассоле,10.0,1.5,1.3,59,10
Коктейль морской в масле,29.8,4.3,3.5,172,10
Коктейль морской замороженный,2.1,3.6,1.8,124,10
Коктейль морской Каждый день,16.0,2.5,0.0,83,10
Конгрио,19.1,1.9,0.0,94,10
Корюшка,15.4,4.5,0.0,102,10
Котлеты из трески,12.6,5.9,15.0,164,10
Краб голубой,18.1,1.1,0.0,87,10
Краб камчатский,18.3,0.6,0.0,84,10
Крабовая колбаса,15.2,0.9,6.8,99,10
Крабовое мясо,6.0,1.0,10.0,73,10
Крабовое мясо Мирамар,15.4,6.9,4.0,140,10
Крабовое мясо Санта Бремор,4.9,1.7,12.3,84,10
Крабовые палочки,6.0,1.0,10.0,73,10
Крабовые палочки Vici сочные,6.0,1.0,10.0,73,10
Крабовые палочки Меридиан Снежный краб,15.4,6.9,4.0,140,10